keyword,language,topic,topicColor,keywordColor,limitPages,ratioNew
'Wein',de,Landwirtschaft,#18e818,#15e515,3,0.2077145006420635
'Not',de,Stadt,#ffff00,#ffff99,3,0.203129066810103
'ÖPNV',de,Stadt,#ffff00,#ffff99,3,0.18365746577045053
'Wind',de,Wetterereignisse,#e81818,#e51515,3,0.1747424607802096
'Energiekosten',de,Energie,#1818e8,#1515e5,3,0.1690010189399671
'Gas',de,Energie,#1818e8,#1515e5,3,0.1645546677681363
'Dürre',de,Wetterereignisse,#e81818,#e51515,3,0.1578349233204488
'Heizung',de,Energie,#1818e8,#1515e5,3,0.1576414607950798
'Kälte',de,Wetterereignisse,#e81818,#e51515,3,0.1559688037335375
'Notunterkunft',de,Stadt,#ffff00,#ffff99,3,0.1514555803441501
'Schnee',de,Wetterereignisse,#e81818,#e51515,3,0.1509315432634653
'Tau',de,Wetterereignisse,#e81818,#e51515,2,0.1420214250324694
'Landwirtschaft',de,Landwirtschaft,#18e818,#15e515,3,0.14123411032134
'Rohrbruch',de,Energie,#1818e8,#1515e5,1,0.1292935585900148
'Bewässerung',de,Landwirtschaft,#15e815,#15e515,2,0.1218271267697154
'Wohnungslose',de,Stadt,#ffff00,#ffff99,2,0.1048979487469642
'Ackerbau',de,Landwirtschaft,#18e818,#15e515,1,0.0282390047252026
'Folientunnel',de,Landwirtschaft,#18e818,#15e515,1,0.021697298503951
'Kältebus',de,Stadt,#ffff00,#ffff99,1,0.006302960832457
'Wärmebus',de,Stadt,#ffff00,#ffff99,1,0.0007236882745459
