index,url,valid,domain,title,description,image,published,archive,content,quote,language,keyword
https://www.stern.de/gesellschaft/regional/hamburg-schleswig-holstein/strassen-und-schienen--welche-folgen-das-winterwetter-fuer-baustellen-hat-37180252.html,https://www.stern.de/gesellschaft/regional/hamburg-schleswig-holstein/strassen-und-schienen--welche-folgen-das-winterwetter-fuer-baustellen-hat-37180252.html,0,www.stern.de,Straßen und Schienen: Welche Folgen das Winterwetter für Baustellen hat,"Wochenlang herrschten in Norddeutschland Kälte, Frost und Schnee. Bei Straßen und Gleisen konnte deshalb nicht immer so gebaut werden, wie vorgesehen. Brauchen Reisende also mehr Geduld?",https://image.stern.de/37180254/t/B6/v1/w1440/r1.7778/-/01--ejxrhe64ofv4axs2048jpeg---7da61c591e83a2af.jpg,2026-03-01T03:00:44Z,,"Kopiere den aktuellen Link
Zur Merkliste hinzufügen
Wochenlang herrschten in Norddeutschland Kälte, Frost und Schnee. Bei Straßen und Gleisen konnte deshalb nicht immer so gebaut werden, wie vorges… [+5070 chars]",,de,'Kälte'
https://www.stern.de/news/reiche-will-gasfoerderung-in-deutschland-ankurbeln---gruene-verurteilen-vorstoss-37178544.html,https://www.stern.de/news/reiche-will-gasfoerderung-in-deutschland-ankurbeln---gruene-verurteilen-vorstoss-37178544.html,0,www.stern.de,Reiche will Gasförderung in Deutschland ankurbeln - Grüne verurteilen Vorstoß,"Bundeswirtschaftsministerin Katherina Reiche (CDU) will die Förderung von heimischem Gas ausweiten. ""Wir haben eigene Reserven in Deutschland"", sagte Reiche den Zeitungen der Funke Mediengruppe vom Samstag. Die Bundesregierung wolle die Gasförderung ""nicht we…",https://image.stern.de/37180896/t/eH/v1/w1440/r1.7778/-/01--ministerin-reiche---751256177868011c.jpg,2026-03-01T10:35:13Z,,"Kopiere den aktuellen Link
Zur Merkliste hinzufügen
Bundeswirtschaftsministerin Katherina Reiche (CDU) will die Förderung von heimischem Gas ausweiten. ""Wir haben eigene Reserven in Deutschland"", s… [+3049 chars]",,de,'Gas'
https://www.welt.de/wirtschaft/plus69a2f2ef7c787f6a1cef21cb/heizungsgesetz-strom-gas-bio-quoten-diese-fragen-muessen-sich-hausbesitzer-jetzt-stellen.html,https://www.welt.de/wirtschaft/plus69a2f2ef7c787f6a1cef21cb/heizungsgesetz-strom-gas-bio-quoten-diese-fragen-muessen-sich-hausbesitzer-jetzt-stellen.html,0,www.welt.de,"Strom, Gas und Bio-Quoten – Diese Grundsatzfragen müssen sich Hausbesitzer jetzt stellen","Die Eckpunkte des neuen Heizungsgesetzes sind bekannt, auf den zweiten Blick aber sind viele Punkte noch offen – auch für Eigentümer, die gerade erst eine neue Heizung eingebaut haben. Für alle Hausbesitzer, die ans Gasnetz angeschlossen sind, stellt sich ein…",https://images.welt.de/69a2f2ef7c787f6a1cef21cb/395851dcae45244ae0bae2040d302c00-master/ci16x9-w1200/gettyimages-1359726676-jpg,2026-03-01T14:37:23Z,,"Die Eckpunkte des neuen Heizungsgesetzes sind bekannt, auf den zweiten Blick aber sind viele Punkte noch offen auch für Eigentümer, die gerade erst eine neue Heizung eingebaut haben. Für alle Hausbes… [+92 chars]",,de,'Gas'
https://www.sueddeutsche.de/wirtschaft/krieg-nahost-iran-auswirkungen-welthandel-reisen-li.3396176,https://www.sueddeutsche.de/wirtschaft/krieg-nahost-iran-auswirkungen-welthandel-reisen-li.3396176,0,www.sueddeutsche.de,Nahostkonflikt: Was der Krieg für den Welthandel und Reisende bedeutet,"Am Persischen Golf kreuzen sich wichtige Handels- und Reiserouten: Öl und Gas, Container, Flugpassagiere – die Region ist eine zentrale Drehscheibe. Und die könnte mit dem Angriff auf Iran zum Stillstand kommen.",https://www.sueddeutsche.de/2026/03/01/b3dfeebf-8d0c-4bd6-a9df-d8f5bd70f9d1.jpg?q=60&fm=webp&width=1200&rect=0%2C209%2C4000%2C2250,2026-03-01T14:38:28Z,,"Dass im Nahen Osten Krieg droht, war seit einigen Wochen immer deutlicher zu sehen: Zwar wurde noch verhandelt zwischen Teheran und Washington, zugleich aber verlegten die USA immer mehr Kriegsschiff… [+270 chars]",,de,'Gas'
https://www.n-tv.de/politik/Ministerin-Reiche-erwartet-trotz-Nahost-Konflikt-keine-Gasknappheit-id30419258.html,https://www.n-tv.de/politik/Ministerin-Reiche-erwartet-trotz-Nahost-Konflikt-keine-Gasknappheit-id30419258.html,0,www.n-tv.de,Höhere Energiepreise drohen: Ministerin Reiche erwartet trotz Nahost-Konflikt keine Gasknappheit,"Nach den amerikanisch-israelischen Angriffen auf den Iran sorgt die Lage an der Straße von Hormus für Unruhe. Das Bundeswirtschaftsministerium rechnet zwar mit höheren Energiepreisen, aber nicht mit Engpässen.",https://www.n-tv.de/img/30419269/1772394718/Img_16_9/1200/Katherina-Reiche-CDU-Bundesministerin-fuer-Wirtschaft-und-Energie-stellt-in-der-Bundespressekonferenz-den-Jahreswirtschaftsbericht-2026-vor-Berlin-28-01-2026.jpg,2026-03-01T19:37:47Z,,"Katherina Reiche sieht Deutschland bei Gas- und Öl-Lieferanten breit aufgestellt. (Foto: picture alliance / photothek.de)
Nach den amerikanisch-israelischen Angriffen auf den Iran sorgt die Lage an … [+1304 chars]",,de,'Gas'
https://t3n.de/news/vom-stuhl-bis-zur-notunterkunft-mit-forscher-machen-aus-flachen-strukturen-3d-objekte-1731580/,https://t3n.de/news/vom-stuhl-bis-zur-notunterkunft-mit-forscher-machen-aus-flachen-strukturen-3d-objekte-1731580/,0,t3n.de,Vom Stuhl bis zur Notunterkunft: MIT-Forscher machen aus flachen Strukturen 3D-Objekte,"Inspiriert von der japanischen Kunst des Kirigami hat ein Team des MIT eine Technik entwickelt, mit der flache Platten ohne den Einsatz von Werkzeugen in medizinische Geräte, Lebensräume und andere Objekte verwandelt werden können.weiterlesen auf t3n.de",https://cdn.t3n.de/news/wp-content/uploads/2026/03/Screenshot-Kirigami-Akib-Zaman.png?class=content,2026-03-02T12:05:55Z,,"Forscher:innen am Massachusetts Institute of Technology (MIT) haben eine neue Methode entwickelt, die mit einem einzigen Zug an einer Art Schnur aus einer flachen Platte aus Kacheln dreidimensionale … [+5005 chars]",,de,'Notunterkunft'
https://noe.orf.at/stories/3344070/,https://noe.orf.at/stories/3344070/,0,noe.orf.at,Mehrere Wanderer aus Bergnot gerettet,Vier Wanderer sind am Wochenende bei winterlichen Verhältnissen am Ötscher und am Schneeberg festgesessen. Sie wurden von Polizei und Bergrettung gerettet. Die Wanderer dürften mangelhaft ausgerüstet gewesen sein.  Verletzt wurde niemand.,https://ibs.orf.at/noe?image=https%3A%2F%2Foekastatic.orf.at%2Fmims%2F2021%2F43%2F39%2Fcrops%2Fw%3D1200%2Ch%3D627%2Cq%3D75%2F1116739_master_396939_20211017_alpineinsatz_2.jpg%3Fs%3De66cd2307a0f55a55e0425b4baebbd91dd2fb3a4,2026-03-02T14:50:38Z,,Zwei US-Amerikanerinnen konnten am Samstag am Rauhen Kamm (Bezirk Scheibbs) weder vor noch zurück. Die beiden 20-jährigen Frauen waren von Lackenhof zu einer Bergtour auf den Großen Ötscher aufgebroc… [+1138 chars],,de,'Tau'
https://vorarlberg.orf.at/stories/3344102/,https://vorarlberg.orf.at/stories/3344102/,0,vorarlberg.orf.at,Mit Socken im Schnee: Unterkühlte Wanderer gerettet,"Zwei Deutsche mussten am Samstag vom Notarzthubschrauber „Gallus 1“ im Kleinwalsertal geborgen werden. Die Wanderer waren bei winterlichen Verhältnissen rund um den Widderstein unterwegs, als sie stark unterkühlt einen Notruf absetzten. Einer verlor zuvor sei…",https://ibs.orf.at/vbg?image=https%3A%2F%2Foekastatic.orf.at%2Fmims%2F2024%2F05%2F98%2Fcrops%2Fw%3D1200%2Ch%3D627%2Cq%3D75%2F2094120_master_790798_g1seitlich_heidegger.jpg%3Fs%3D44c3da66f3c62163ac558e1f44382145e517109a,2026-03-02T14:58:53Z,,"Die beiden Männer 16 und 18 Jahre alt starteten gegen 9.00 Uhr die Wanderung Rund um den Widderstein im Kleinwalsertal. Die Verhältnisse wurden im Laufe der Wanderung zunehmend winterlicher, die Wand… [+814 chars]",,de,'Schnee'
https://www.zeit.de/politik/2026-03/friedrich-merz-donald-trump-nahost-zollpolitik-usa-nachrichtenpodcast,https://www.zeit.de/politik/2026-03/friedrich-merz-donald-trump-nahost-zollpolitik-usa-nachrichtenpodcast,0,www.zeit.de,Nahost- und Zollpolitik: Merz trifft Trump im Weißen Haus,Als erster Europäer ist der Kanzler nach dem Iranangriff zu Gast bei Trump. Der Krieg dürfte das wichtigste Thema sein. Und: Der Winter war ungewohnt mild und trocken.,https://img.zeit.de/politik/ausland/2026-03/friedrich-merz-donald-trump-nahost-zollpolitik-usa-nachrichtenpodcast-bild/wide__1300x731,2026-03-03T04:55:26Z,,Zum zweiten Mal trifft Bundeskanzler Friedrich Merz US-Präsident Donald Trump unter vier Augen in Washington. Hintergrund sind die aktuellen Entwicklungen im Nahen Osten nach den US-amerikanischen un… [+1910 chars],,de,'Gas'
https://www.focus.de/immobilien/wohnen/ihr-vermieter-entscheidet-ueber-neue-heizung-sie-zahlen_7bd56895-c6d0-40db-ad12-071c2152876c.html,https://www.focus.de/immobilien/wohnen/ihr-vermieter-entscheidet-ueber-neue-heizung-sie-zahlen_7bd56895-c6d0-40db-ad12-071c2152876c.html,0,www.focus.de,"Ihr Vermieter entscheidet über neue Heizung, Sie zahlen",GEG-Reform trifft Mieter doppelt: Modernisierungsumlage und steigende Heizkosten treiben die Warmmiete nach oben. So teuer wird es.,https://quadro.burda-forward.de/ctf/4e0a37c8-5317-4ec6-8904-dd9640867ba4.90353b39-078d-45da-a1d5-94fcfb660961.jpeg?im=RegionOfInterestCrop%3D%281200%2C630%29%2CregionOfInterest%3D%281068%2C702%29&hash=8cfdce2602f0ed8148dbd24cd1f77b49bb25c374bf8afae8d2f9d948618ff49a,2026-03-03T08:34:00Z,,Die Bundesregierung hat die Eckpunkte einer Reform des Gebäudeenergiegesetzes (GEG) festgelegt. Neue Heizungen müssen künftig nicht mehr zu 65 Prozent mit erneuerbaren Energien betrieben werden. Im G… [+7583 chars],,de,'Heizung'
