index,url,valid,domain,title,description,image,published,archive,content,quote,language,keyword
https://www.stern.de/gesellschaft/regional/niedersachsen-bremen/energie--erste-rohre-fuer-weitere-lng-anbindungsleitung-verlegt--33518784.html,https://www.stern.de/gesellschaft/regional/niedersachsen-bremen/energie--erste-rohre-fuer-weitere-lng-anbindungsleitung-verlegt--33518784.html,0,www.stern.de,Energie: Erste Rohre für weitere LNG-Anbindungsleitung verlegt,"Über das schwimmende Importterminal in Wilhelmshaven wird seit Dezember Flüssigerdgas angelandet. Um das Gas weiterzutransportieren, baut der Energieversorger EWE eine weitere Pipeline. Die Bauarbeiten kommen nun sichtbar voran.",https://image.stern.de/33518786/t/i-/v1/w1440/r1.7778/-/01--urnnewsmldpacom2009010123060199899070v3w800h600l625t5r1965b1048jpeg---c0b26c0d2006b89a.jpg,2023-06-01T04:39:02Z,https://web.archive.org/web/20230601053828/https://www.stern.de/gesellschaft/regional/niedersachsen-bremen/energie--erste-rohre-fuer-weitere-lng-anbindungsleitung-verlegt--33518784.html,"Über das schwimmende Importterminal in Wilhelmshaven wird seit Dezember Flüssigerdgas angelandet. Um das Gas weiterzutransportieren, baut der Energieversorger EWE eine weitere Pipeline. Die Bauarbeit… [+2377 chars]",,de,'Gas'
https://www.ibiza-heute.de/gastronomische-archaeologie-event-in-eivissa/,https://www.ibiza-heute.de/gastronomische-archaeologie-event-in-eivissa/,0,www.ibiza-heute.de,Kulinarische Archäologie: Event in Eivissa,"Es ist schon ein Gastro-Event der ganz besonderen Art. Am 2., 9. und 16. Juni 2023 bitten das Archäologische Museum […]
Der Beitrag Kulinarische Archäologie: Event in Eivissa erschien zuerst auf Ibiza Heute.",https://www.ibiza-heute.de/wp-content/uploads/2023/06/Wein-Öl-Brot.jpg,2023-06-01T13:00:32Z,,"Brot, Wein und auch Öl gehören heute auf Ibiza genauso zum Speiseplan wie seit hunderten von Jahren. Foto: Pixabay Es ist schon ein Gastro-Event der ganz besonderen Art. Am 2., 9. und 16. Juni 2023 b… [+1987 chars]",,de,'Gas'
https://taz.de/Umstrittenes-Heizungsgesetz/!5938072/,https://taz.de/Umstrittenes-Heizungsgesetz/!5938072/,0,taz.de,Umstrittenes Heizungsgesetz: Fossile Wärme bleibt hip,"Gasheizungen sind immer noch trotz steigender Preise und drohenden Verbots ein Verkaufsschlager. Ein Energieexperte erklärt, welche Gründe das hat.",https://taz.de/picture/6298387/948/32951617-1.jpeg,2023-06-01T16:41:00Z,https://web.archive.org/web/20230601194303/https://taz.de/Umstrittenes-Heizungsgesetz/!5938072/,"Gasheizungen sind immer noch trotz steigender Preise und drohenden Verbots ein Verkaufsschlager. Ein Energieexperte erklärt, welche Gründe das hat.
Ab 2045 sollen nach Gebäudeenergiegesetzkeine foss… [+3191 chars]",,de,'Gas'
https://www.n-tv.de/politik/Habeck-geht-mit-Antworten-auf-FDP-Fragen-in-die-Offensive-article24162648.html,https://www.n-tv.de/politik/Habeck-geht-mit-Antworten-auf-FDP-Fragen-in-die-Offensive-article24162648.html,0,www.n-tv.de,Instrumenten-Mix notwendig: Habeck geht mit Antworten auf FDP-Fragen in die Offensive,"Das Wirtschaftsministerium beantwortet den Fragenkatalog der FDP schriftlich und verteidigt darin die eigenen Ideen zum Heizungsgesetz. Wichtig sei, dass mehrere Instrumente genutzt würden, und dass die Kosten für das Heizen nicht aus dem Ruder liefen.",https://bilder1.n-tv.de/img/incoming/crop24162656/8401322970-cImg_16_9-w1200/402278839.jpg,2023-06-01T20:12:05Z,https://web.archive.org/web/20230601215303/https://www.n-tv.de/politik/Habeck-geht-mit-Antworten-auf-FDP-Fragen-in-die-Offensive-article24162648.html,"Das Wirtschaftsministerium beantwortet den Fragenkatalog der FDP schriftlich und verteidigt darin die eigenen Ideen zum Heizungsgesetz. Wichtig sei, dass mehrere Instrumente genutzt würden, und dass … [+5630 chars]",,de,'Heizung'
https://www.focus.de/politik/deutschland/kuehnert-heizungs-gesetz-vor-der-sommerpause-absolut-realistisch_id_195268134.html,https://www.focus.de/politik/deutschland/kuehnert-heizungs-gesetz-vor-der-sommerpause-absolut-realistisch_id_195268134.html,0,www.focus.de,Einigung im Juni möglich - Kühnert: Heizungs-Gesetz vor der Sommerpause „absolut realistisch“,"SPD-Generalsekretär Kevin Kühnert hat sich zuversichtlich gezeigt, dass das in der Koalition umstrittene Heizungsgesetz vor der Sommerpause verabschiedet werden kann.",https://p6.focus.de/img/politik/deutschland/id_195139189/spd-generalsekretaer-kevin-kuehnert-spd-hat-den-fuehrungsstil-von-kanzler-scholz-verteidigt..jpg?im=Crop%3D%280%2C0%2C2048%2C1023%29%3BResize%3D%281200%2C627%29&impolicy=perceptual&quality=mediumHigh&hash=6f9a4c72059820eeb03af75020655cf92bb79e27b58d4c285c16176a6ec78a5d,2023-06-01T23:17:17Z,https://web.archive.org/web/20230602015601/https://www.focus.de/politik/deutschland/kuehnert-heizungs-gesetz-vor-der-sommerpause-absolut-realistisch_id_195268134.html,"SPD-Generalsekretär Kevin Kühnert hat sich zuversichtlich gezeigt, dass das in der Koalition umstrittene Heizungsgesetz vor der Sommerpause verabschiedet werden kann. Der SPD-Politiker halte das mitt… [+1915 chars]",,de,'Heizung'
https://www.ibiza-heute.de/ibiza-leserfoto-des-tages-in-ibizaheute-69/,https://www.ibiza-heute.de/ibiza-leserfoto-des-tages-in-ibizaheute-69/,0,www.ibiza-heute.de,Ibiza: Leserfoto des Tages in IbizaHEUTE,"“Hier unser Lieblingsplatz von uns, um ein Gläschen Wein oder ein San Miguel zu genießen”, schrieben uns Claudia und Peter […]
Der Beitrag Ibiza: Leserfoto des Tages in IbizaHEUTE erschien zuerst auf Ibiza Heute.",https://www.ibiza-heute.de/wp-content/uploads/2023/06/SanMiguelPRimkus.jpg,2023-06-02T04:00:11Z,,"“Hier unser Lieblingsplatz von uns, um ein Gläschen Wein oder ein San Miguel zu genießen”, schrieben uns Claudia und Peter Rimkus zu diesem Foto. Es ist die Bucht, die so heißt, wie das Bier: San Mig… [+1053 chars]",,de,'Wein'
https://noe.orf.at/stories/3209940/,https://noe.orf.at/stories/3209940/,0,noe.orf.at,Roboter erobern die Landwirtschaft,"Sie mähen, hacken und säen: Roboter sind auch in der Landwirtschaft auf dem Vormarsch. Das zeigt sich bei der Land- und Forstwirtschaftsmesse in Wieselburg (Bezirk Scheibbs), die sich unter neuem Auftritt verstärkt Zukunftsthemen widmet.",https://ibs.orf.at/noe?image=https%3A%2F%2Foekastatic.orf.at%2Fmims%2F2023%2F22%2F86%2Fcrops%2Fw%3D1200%2Ch%3D627%2Cq%3D75%2F1812411_master_675386_robotti.jpg%3Fs%3Da28c1f49e90cee488965f024295f39c50385a110,2023-06-02T04:12:00Z,https://web.archive.org/web/20230602045105/https://noe.orf.at/stories/3209940/,"Butler heißt der Roboter, der im Stall Futter zu den Tieren schiebt. Ab 20.000 Euro ist der Gehilfe bereits zu haben. Lely übernimmt die schmutzige Arbeit und mistet den Stall aus. Wieder ein anderer… [+3503 chars]",,de,'Wein'
https://www.focus.de/politik/deutschland/rubriken-vom-sieg-der-vernunft-bei-habeck-und-einem-wahlrecht-das-uns-nicht-gegoennt-wird_id_195311081.html,https://www.focus.de/politik/deutschland/rubriken-vom-sieg-der-vernunft-bei-habeck-und-einem-wahlrecht-das-uns-nicht-gegoennt-wird_id_195311081.html,0,www.focus.de,"Helmut Markworts Tagebuch - Vom Sieg der Vernunft bei Habeck und einem Wahlrecht, das uns nicht gegönnt wird","Dass Robert Habeck sein Heizungsgesetz noch einmal überarbeitet, ist ein Erfolg des öffentlichen Protests - und damit der Demokratie. Das Gegenteil gilt für den Versuch der Bundestagsabgeordneten, die Legislaturperiode von vier auf fünf Jahre zu erhöhen.Von F…",https://p6.focus.de/img/fotos/id_195102597/bundestag-78165517.jpg?im=Crop%3D%280%2C0%2C3464%2C1732%29%3BResize%3D%281200%2C627%29&impolicy=perceptual&quality=mediumHigh&hash=721ba99d1fd09954d1c00db66cbd36a30d6a1752e730c294d330864b56237ba0,2023-06-02T09:40:29Z,https://web.archive.org/web/20230604065040/https://www.focus.de/politik/deutschland/rubriken-vom-sieg-der-vernunft-bei-habeck-und-einem-wahlrecht-das-uns-nicht-gegoennt-wird_id_195311081.html,"Dass Robert Habeck sein Heizungsgesetz noch einmal überarbeitet, ist ein Erfolg des öffentlichen Protests - und damit der Demokratie. Das Gegenteil gilt für den Versuch der Bundestagsabgeordneten, di… [+3559 chars]",,de,'Heizung'
https://www.n-tv.de/politik/FDP-fuehlt-sich-unter-kuenstlichen-Zeitdruck-gesetzt-article24164061.html,https://www.n-tv.de/politik/FDP-fuehlt-sich-unter-kuenstlichen-Zeitdruck-gesetzt-article24164061.html,0,www.n-tv.de,"SPD will Blockade-Ende: FDP fühlt sich unter ""künstlichen Zeitdruck"" gesetzt","Seit Wochen gibt es Streit in der Ampel-Koalition um Habecks neues Heizungsgesetz. Noch immer blockiert die FDP das Vorhaben. Grüne und SPD gehen dennoch davon aus, dass das Gesetz noch vor der Sommerpause verabschiedet werden kann. Die FDP spielt auf Zeit.",https://bilder3.n-tv.de/img/incoming/crop24164094/0101321852-cImg_16_9-w1200/402278758.jpg,2023-06-02T11:11:37Z,https://web.archive.org/web/20230602112613/https://www.n-tv.de/politik/FDP-fuehlt-sich-unter-kuenstlichen-Zeitdruck-gesetzt-article24164061.html,"Seit Wochen gibt es Streit in der Ampel-Koalition um Habecks neues Heizungsgesetz. Noch immer blockiert die FDP das Vorhaben. Grüne und SPD gehen dennoch davon aus, dass das Gesetz noch vor der Somme… [+2423 chars]",,de,'Heizung'
https://www.welt.de/wirtschaft/video245661466/Heizungsstreit-Das-Beste-waere-das-Gesetz-komplett-neu-zu-schreiben.html,https://www.welt.de/wirtschaft/video245661466/Heizungsstreit-Das-Beste-waere-das-Gesetz-komplett-neu-zu-schreiben.html,0,www.welt.de,"„Das Beste wäre, das Gesetz komplett neu zu schreiben“","Die FDP will Nachbesserungen an dem Heizungsgesetz. Ab 2024 soll möglichst jede neu eingebaute Heizung zu mindestens 65 Prozent mit Öko-Energie betrieben werden. Jedoch gebe es dafür noch keine Technologien, sagt Kai Warnecke, Präsident Haus & Grund Deutschla…",https://img.welt.de/img/wirtschaft/mobile245661938/7991357217-ci16x9-w1200/dpa-5FAD4A0019A27687-jpg.jpg,2023-06-02T11:57:11Z,https://web.archive.org/web/20230602130957/https://www.welt.de/wirtschaft/video245661466/Heizungsstreit-Das-Beste-waere-das-Gesetz-komplett-neu-zu-schreiben.html,"Die WELT als ePaper: Die vollständige Ausgabe steht Ihnen bereits am Vorabend zur Verfügung so sind Sie immer hochaktuell informiert. Weitere Informationen: http://epaper.welt.de 
 Der Kurz-Link die… [+49 chars]",,de,'Heizung'
